product_name,product_url,object,label
U.S. Polo Assn. Men Signature Logo Pure Cotton,https://m.media-amazon.com/images/I/61fRzTKtwAL._SX569_.jpg,"['Shorts', 'Underpants']","['Outerwear', 'White', 'Neck', 'Sleeve', 'Waist', 'Textile', 'Orange', 'Grey', 'Style', 'Knee']"
VIMAL JONNEY Men's Slim Track Pants,https://m.media-amazon.com/images/I/71aNV7oOkmL._SX679_.jpg,"['Pants', 'Pants', 'Pants', 'Person', 'Person', 'Person', 'Shoe', 'Shoe', 'Shoe']","['Joint', 'Leg', 'Active pants', 'Neck', 'Sleeve', 'Waist', 'Knee', 'Thigh', 'Gesture', 'Grey']"
Fastrack Casual Analog White Dial Men's Watch,https://m.media-amazon.com/images/I/51Z3J7uzNfL._SX679_.jpg,['Watch'],"['Watch', 'Analog watch', 'Watch accessory', 'Clock', 'Rectangle', 'Font', 'Metal', 'Electric blue', 'Brand', 'Fashion accessory']"
Sonata Men Leather Analog White Dial Watch,https://m.media-amazon.com/images/I/71QvcBxXXxL._SY741_.jpg,['Watch'],"['Watch', 'Analog watch', 'White', 'Light', 'Product', 'Clock', 'Watch accessory', 'Rectangle', 'Font', 'Material property']"
Casio Men Stainless Steel Analog Black Dial Watch,https://m.media-amazon.com/images/I/61hpIjX15vL._SX679_.jpg,['Watch'],"['Watch', 'Analog watch', 'Clock', 'Watch accessory', 'Font', 'Silver', 'Metal', 'Fashion accessory', 'Nickel', 'Brand']"
Titan Analog Silver Dial Gold Band Mens Stainless Steel Watch,https://m.media-amazon.com/images/I/81lfqanrciL._SY741_.jpg,['Watch'],"['Watch', 'Analog watch', 'Clock', 'Font', 'Watch accessory', 'Material property', 'Silver', 'Rectangle', 'Metal', 'Circle']"
Fire-Boltt Ninja Call Pro Plus 1.83 Smart Watch with Bluetooth Calling,https://m.media-amazon.com/images/I/61AHiYyu3ZL._SX679_.jpg,"['Watch', 'Person', 'Person']","['Smile', 'Gesture', 'Gadget', 'Audio equipment', 'Font', 'Communication Device', 'Auto part', 'Output device', 'Clock', 'Wrist']"
Milton Prudent 1100 Thermosteel 24 Hours Hot and Cold Water Bottle,https://m.media-amazon.com/images/I/71TLCsrjEnL._SX679_.jpg,"['Bottle', 'Bottle']","['Liquid', 'Bottle', 'Drinkware', 'Fluid', 'Plastic bottle', 'Glass bottle', 'Alcoholic beverage', 'Cylinder', 'Electric blue', 'Drink']"
MILTON Aqua 500 Stainless Steel Water Bottle 500-ml Light-Pink,https://m.media-amazon.com/images/I/51AOvn+e1QL._SX679_.jpg,"['Liquid', 'Bottle', 'Fluid', 'Tints and shades', 'Plastic bottle', 'Magenta', 'Drink', 'Cylinder', 'Plastic', 'Peach']","['Liquid', 'Bottle', 'Fluid', 'Tints and shades', 'Plastic bottle', 'Magenta', 'Drink', 'Cylinder', 'Plastic', 'Peach']"
"Redmi 12 (Moonstone Silver,6GB RAM, 128GB Storage)",https://m.media-amazon.com/images/I/71ij5dqxbeL._SX679_.jpg,"['Mobile phone', 'Mobile phone']","['Mobile phone', 'Communication Device', 'Portable communications device', 'Gadget', 'Gesture', 'Grey', 'Telephony', 'Font', 'Smartphone', 'Rectangle']"
"Redmi A3 (Olive Green, 3GB RAM, 64GB Storage)",https://m.media-amazon.com/images/I/71dJSabHYiL._SX679_.jpg,"['Mobile phone', 'Mobile phone']","['Automotive tire', 'Audio equipment', 'Automotive lighting', 'Font', 'Gadget', 'Communication Device', 'Sports equipment', 'Automotive design', 'Camera', 'Auto part']"
Apple Iphone-14,https://m.media-amazon.com/images/I/51Sn5X2gfaL._SX679_.jpg,['Mobile phone'],"['Communication Device', 'Mobile phone', 'Portable communications device', 'Gesture', 'Telephony', 'Gadget', 'Smartphone', 'Aluminium', 'Metal', 'Mobile device']"
Apple Iphone 15-pro Max,https://m.media-amazon.com/images/I/61Jrsu9d3-L._SX679_.jpg,"['Mobile phone', 'Communication Device', 'Portable communications device', 'Telephony', 'Gesture', 'Grey', 'Bumper', 'Gadget', 'Automotive exterior', 'Font']","['Mobile phone', 'Communication Device', 'Portable communications device', 'Telephony', 'Gesture', 'Grey', 'Bumper', 'Gadget', 'Automotive exterior', 'Font']"
Iphone Case-cover,https://m.media-amazon.com/images/I/51pPPth9kyL._SX679_.jpg,"['Mobile phone', 'Camera']","['Grey', 'Gadget', 'Mp3 player', 'Gas', 'Font', 'Audio equipment', 'Circle', 'Rectangle', 'Multimedia', 'Electric blue']"
One Plus Nord3,https://m.media-amazon.com/images/I/51opW+tODpL._SY741_.jpg,['Mobile phone'],"['Fixture', 'Door', 'Rectangle', 'Gas', 'Font', 'Metal', 'Handle', 'Circle', 'Aluminium', 'Titanium']"
One Plus CE4,https://m.media-amazon.com/images/I/51jCor3c-EL._SX679_.jpg,['Mobile phone'],"['Communication Device', 'Gesture', 'Rectangle', 'Telephony', 'Portable communications device', 'Gadget', 'Smartphone', 'Metal', 'Electric blue', 'Mobile phone']"
One plus CE3,https://m.media-amazon.com/images/I/510YZx4v3wL._SX679_.jpg,['Mobile phone'],"['Mobile phone', 'Telephony', 'Communication Device', 'Portable communications device', 'Mobile device', 'Gadget', 'Telephone', 'Camera', 'Smartphone', 'Camera lens']"
Samsung galaxy,https://m.media-amazon.com/images/I/71td5npKu6L._SY741_.jpg,['Mobile phone'],"['Communication Device', 'Rectangle', 'Gadget', 'Font', 'Gas', 'Netbook', 'Major appliance', 'Electric blue', 'Metal', 'Circle']"
Apple MacBook Air Laptop M1 chip,https://m.media-amazon.com/images/I/71jG+e7roXL._SX679_.jpg,['Laptop'],"['Computer', 'Laptop', 'Output device', 'Personal computer', 'Gesture', 'Rectangle', 'Computer monitor accessory', 'Gadget', 'Display device', 'Laptop part']"
HP Laptop 15s,https://m.media-amazon.com/images/I/71oQh8WFlyL._SX679_.jpg,['Laptop'],"['Computer', 'Laptop', 'Personal computer', 'Peripheral', 'Output device', 'Input device', 'Touchpad', 'Space bar', 'Font', 'Computer hardware']"
HP Laptop 15,https://m.media-amazon.com/images/I/61Cs3B5GHhL._SX679_.jpg,['Laptop'],"['Computer', 'Laptop', 'Personal computer', 'Output device', 'Touchpad', 'Peripheral', 'Input device', 'Space bar', 'Webcam', 'Netbook']"
"Samsung Galaxy M34 5G (Prism Silver,6GB,128GB)",https://m.media-amazon.com/images/I/91ItZJh1FDL._AC_UY218_.jpg,"['Mobile phone', 'Mobile phone']","['Product', 'Telephony', 'Mobile phone', 'Gesture', 'Communication Device', 'Rectangle', 'Font', 'Portable communications device', 'Material property', 'Gadget']"
DELL Latitude 5490 Core i5 8th Gen Laptop,https://m.media-amazon.com/images/I/418cc1MvF1L._SX679_.jpg,['Laptop'],"['Laptop', 'Computer', 'Personal computer', 'Output device', 'Netbook', 'Touchpad', 'Peripheral', 'Flat panel display', 'Gadget', 'Computer monitor accessory']"
Dell 14 Thin & Light Laptop,https://m.media-amazon.com/images/I/71Eu1-dfTmL._SX679_.jpg,['Laptop'],"['Computer', 'Personal computer', 'Output device', 'Laptop', 'Gadget', 'Computer hardware', 'Laptop part', 'Font', 'Electronic instrument', 'Laptop accessory']"
ASUS VivoBook 15 (2021) Thin and Light Laptop,https://m.media-amazon.com/images/I/71lYhcc++AL._SX679_.jpg,['Laptop'],"['Computer', 'Laptop', 'Personal computer', 'Output device', 'Netbook', 'Gadget', 'Input device', 'Laptop part', 'Font', 'Computer hardware']"
Lenovo ThinkPad E14 Intel Core i5 12th Gen 14 FHD Thin and Light Laptop,https://m.media-amazon.com/images/I/617Af4lsBNL._SX679_.jpg,['Laptop'],"['Computer', 'Personal computer', 'Laptop', 'Touchpad', 'Output device', 'Peripheral', 'Input device', 'Netbook', 'Space bar', 'Gesture']"
Lenovo ThinkPad E14 Intel Core i3 12th Gen 14 FHD Thin and Light Laptop,https://m.media-amazon.com/images/I/518BYF8LHRL._SY450_.jpg,['Laptop'],"['Computer', 'Personal computer', 'Laptop', 'Touchpad', 'Output device', 'Input device', 'Peripheral', 'Space bar', 'Netbook', 'Computer keyboard']"
ASUS Vivobook Pro 15 AMD Ryzen 7,https://m.media-amazon.com/images/I/61eTPcEsC+L._SX679_.jpg,['Laptop'],"['Computer', 'Personal computer', 'Output device', 'Font', 'Laptop', 'Computer keyboard', 'Electronic instrument', 'Computer hardware', 'Office equipment', 'Display device']"
Lenovo Yoga Slim 7 Pro Intel Evo Core i5-11320H,https://m.media-amazon.com/images/I/51qPrXE56-L._SX679_.jpg,['Laptop'],"['Computer', 'Personal computer', 'Laptop', 'Touchpad', 'Output device', 'Input device', 'Space bar', 'Laptop accessory', 'Peripheral', 'Gadget']"
LG 164 cm (65 inches) 4K Ultra HD Smart LED TV,https://m.media-amazon.com/images/I/8195aYGDl9L._SX450_.jpg,['Television'],"['Line', 'Font', 'Magenta', 'Violet', 'Rectangle', 'Tints and shades', 'Terrestrial plant', 'Pattern', 'Electric blue', 'Graphics']"
Samsung 108 cm (43 inches) D Series Crystal 4K Vivid Pro Ultra HD Smart LED TV,https://m.media-amazon.com/images/I/81aKi8uAUsL._SX450_.jpg,['Television'],"['Purple', 'Organism', 'Violet', 'Font', 'Magenta', 'Science', 'Electric blue', 'Astronomical object', 'Event', 'Circle']"
Samsung 80 cm (32 inches) HD Ready Smart LED,https://m.media-amazon.com/images/I/71S8iUPW9bL._SX450_.jpg,"['Television', 'Television']","['Computer', 'Output device', 'Personal computer', 'Font', 'Computer monitor', 'Sky', 'Television', 'Television set', 'Cloud', 'Flat panel display']"
MI 108 cm (43 inches) A Series Full HD Smart Google TV L43M8-5AIN,https://m.media-amazon.com/images/I/71UXTb93oZL._SX450_.jpg,['Television'],"['Orange', 'Font', 'Slope', 'Rectangle', 'Natural landscape', 'Poster', 'Advertising', 'Logo', 'Horizon', 'Brand']"
Samsung 108 cm (43 inches) Full HD Smart LED TV,https://m.media-amazon.com/images/I/91mRUNnqqnL._SX569_.jpg,"['Television', 'Television']","['Mountain', 'Slope', 'Natural landscape', 'Travel', 'Font', 'Landscape', 'Magenta', 'Mountain range', 'Hill', 'Plateau']"
Acer 100 cm (40 inches) Advanced I Series Full HD Smart LED Google TV ,https://m.media-amazon.com/images/I/5126gXnEjFL._SX450_.jpg,['Television'],"['Orange', 'Rectangle', 'Font', 'Material property', 'Tints and shades', 'Window', 'Logo', 'Automotive exterior', 'Advertising', 'Brand']"
VW 80 cm (32 inches) Frameless Series HD Ready Android Smart LED TV VW32S (Black),https://m.media-amazon.com/images/I/717oSOB4hCL._AC_UY218_.jpg,['Television'],"['Colorfulness', 'Font', 'Circle', 'Art', 'Poster', 'Audio equipment', 'Electric blue', 'Graphics', 'Magenta', 'Event']"
Sony Bravia 164 cm (65 inches) 4K Ultra HD Smart LED Google TV KD,https://m.media-amazon.com/images/I/81MRU+3RJLL._SX450_.jpg,"['Television', 'Television']","['Photograph', 'Rectangle', 'Purple', 'Petal', 'Pink', 'Font', 'Magenta', 'Art', 'Technology', 'Painting']"
TCL 139 cm (55 inches) Metallic Bezel-Less Series 4K Ultra HD Smart LED Google TV,https://m.media-amazon.com/images/I/71N7mwf1C7L._AC_UY218_.jpg,['Television'],"['Product', 'Font', 'Organism', 'Petal', 'Adaptation', 'Technology', 'Electric blue', 'Event', 'Magenta', 'Wing']"
Sony Bravia 80 cm (32 inches) HD Ready Smart LED Google TV,https://m.media-amazon.com/images/I/71EcYIKenVL._SX450_.jpg,['Television'],"['Green', 'Terrestrial plant', 'Rectangle', 'Font', 'Vehicle', 'Technology', 'Automotive mirror', 'Wheel', 'Tire', 'Logo']"
Owala FreeSip Insulated Stainless Steel Water Bottle with Straw,https://m.media-amazon.com/images/I/71XJK6bWJKL._AC_UL480_FMwebp_QL65_.jpg,['Vacuum flask'],"['Brown', 'Rectangle', 'Beige', 'Dishware', 'Electronic device', 'Serveware', 'Metal', 'Circle', 'Square', 'Electric blue']"
"Gatorade Gx, Marble Blue, 30 Oz",https://m.media-amazon.com/images/I/81VUG3Eh5ZL._AC_UL480_FMwebp_QL65_.jpg,['Bottle'],"['Bird', 'Azure', 'Textile', 'Paint', 'Painting', 'Art', 'Creative arts', 'Rectangle', 'Electric blue', 'Art paint']"
"Sahara Sailor Water Bottles, 32oz Motivational Sports Water Bottle with Time Marker",https://m.media-amazon.com/images/I/615wnuU9ZqL._AC_UL480_FMwebp_QL65_.jpg,"['Bottle', 'Bottle']","['Liquid', 'Drinkware', 'Green', 'Water bottle', 'Bottle', 'Fluid', 'Drink', 'Plastic bottle', 'Aqua', 'Material property']"
"Insulated Water Bottle 64 oz, Triple Wall Vacuum Stainless Steel (Cold for 48 Hrs)",https://m.media-amazon.com/images/I/71vE0KfTNQL._AC_UL480_FMwebp_QL65_.jpg,"['Vacuum flask', 'Bottle']","['Liquid', 'Bottle', 'Fluid', 'Material property', 'Font', 'Gas', 'Personal care', 'Plastic bottle', 'Electric blue', 'Cylinder']"
HYDRO CELL Stainless Steel Insulated Water Bottle with Straw,https://m.media-amazon.com/images/I/71ua0aLCE2L._AC_UL480_FMwebp_QL65_.jpg,"['Vacuum flask', 'Vacuum flask', 'Vacuum flask', 'Vacuum flask', 'Vacuum flask', 'Bottle', 'Bottle', 'Bottle', 'Bottle', 'Bottle']","['Liquid', 'Blue', 'Fluid', 'Bottle', 'Violet', 'Plastic bottle', 'Font', 'Material property', 'Cylinder', 'Tints and shades']"
50 Strong Bulk Water Bottles | 24 Pack Sports Bottle,https://m.media-amazon.com/images/I/71VMAGCc7OL._AC_UL960_FMwebp_QL65_.jpg,"['Lighting', 'Bottle', 'Bottle']","['Product', 'Gesture', 'Font', 'Material property', 'Liquid', 'Gas', 'Cylinder', 'Rectangle', 'Circle', 'Pipe']"
AQUAFIT 1 Gallon Water Bottle With Time Marker - Straw & Chug Lid,https://m.media-amazon.com/images/I/81mLuArYaqL._AC_UL480_FMwebp_QL65_.jpg,"['Bottle', 'Bottle', 'Bottle', 'Bottle', 'Bottle', 'Bottle', 'Bottle']","['Product', 'Liquid', 'Sleeve', 'Font', 'Automotive tire', 'Machine', 'Personal protective equipment', 'Bottle', 'Engineering', 'Illustration']"
"Under Armour Playmaker Sport Jug, Water Bottle with Handle, Foam Insulated & Leak Resistant",https://m.media-amazon.com/images/I/61PQRMZMhWL._AC_UL480_FMwebp_QL65_.jpg,['Vacuum flask'],"['White', 'Light', 'Luggage and bags', 'Gas', 'Bag', 'Fluid', 'Backpack', 'Electric blue', 'Font', 'Cylinder']"
BUTABY Rectangle Sunglasses for Women Retro Driving,https://m.media-amazon.com/images/I/719G6MA0A8L._AC_UL480_FMwebp_QL65_.jpg,"['Sunglasses', 'Sunglasses', 'Sunglasses', 'Sunglasses']","['Glasses', 'Brown', 'Goggles', 'Vision care', 'Sunglasses', 'White', 'Light', 'Eyewear', 'Eye glass accessory', 'Orange']"
SOJOS Classic Square Sunglasses for Women Men with Spring Hinge Sunnies SJ1137,https://m.media-amazon.com/images/I/61OvsRHucQL._AC_UL480_FMwebp_QL65_.jpg,['Sunglasses'],"['Glasses', 'Vision care', 'Goggles', 'Sunglasses', 'Eyewear', 'Eye glass accessory', 'Yellow', 'Tints and shades', 'Font', 'Oval']"
WearMe Pro - Reflective Lens Round Trendy Sunglasses,https://m.media-amazon.com/images/I/71U8Ot3tx+L._AC_UL480_FMwebp_QL65_.jpg,['Sunglasses'],"['Brown', 'Vision care', 'Goggles', 'Sunglasses', 'Eyewear', 'Eye glass accessory', 'Font', 'Material property', 'Tints and shades', 'Circle']"
MERRY'S Unisex Polarized Aluminum Sunglasses,https://m.media-amazon.com/images/I/51X-dwiFqAL._AC_UL480_FMwebp_QL65_.jpg,['Sunglasses'],"['Glasses', 'Vision care', 'Goggles', 'Sunglasses', 'Eyewear', 'Eye glass accessory', 'Grey', 'Font', 'Tints and shades', 'Personal protective equipment']"
Joopin Square Sunglasses Polarized UV Protection Trendy Designer Sun Glasses Men Women,https://m.media-amazon.com/images/I/519NQwNO96L._AC_UL480_FMwebp_QL65_.jpg,['Sunglasses'],"['Vision care', 'Eye glass accessory', 'Eyewear', 'Goggles', 'Sunglasses', 'Material property', 'Tints and shades', 'Personal protective equipment', 'Font', 'Transparent material']"
Eyegla Wholesale Sunglasses Bulk for Adults Party Favors Retro Classic Shades,https://m.media-amazon.com/images/I/71WcWVcKmnL._AC_UL480_FMwebp_QL65_.jpg,"['Sunglasses', 'Sunglasses', 'Sunglasses', 'Sunglasses', 'Sunglasses']","['Glasses', 'Goggles', 'Vision care', 'Sunglasses', 'White', 'Green', 'Blue', 'Azure', 'Eyewear', 'Pink']"
VANLINKER Thick Square Sunglasses for Men Women,https://m.media-amazon.com/images/I/51JKURQSTEL._AC_UL480_FMwebp_QL65_.jpg,['Sunglasses'],"['Glasses', 'Goggles', 'Vision care', 'Sunglasses', 'Eye glass accessory', 'Eyewear', 'Grey', 'Line', 'Automotive design', 'Material property']"
KALIYADI Polarized Sunglasses for Men,https://m.media-amazon.com/images/I/61KQXq71FJL._AC_UL480_FMwebp_QL65_.jpg,"['Sunglasses', 'Sunglasses']","['Glasses', 'Vision care', 'Goggles', 'Sunglasses', 'White', 'Light', 'Eye glass accessory', 'Eyewear', 'Font', 'Personal protective equipment']"
SOJOS Classic Square Polarized Sunglasses for Women,https://m.media-amazon.com/images/I/61r36QSm+iL._AC_UL480_FMwebp_QL65_.jpg,['Sunglasses'],"['Glasses', 'Brown', 'Goggles', 'Vision care', 'Photograph', 'Sunglasses', 'Amber', 'Eyewear', 'Eye glass accessory', 'Orange']"
Polarized Sports Sunglasses for Men,https://m.media-amazon.com/images/I/61wzlDnzmFL._AC_UL480_FMwebp_QL65_.jpg,['Sunglasses'],"['White', 'Eyewear', 'Eye glass accessory', 'Line', 'Font', 'Audio equipment', 'Personal protective equipment', 'Drawing', 'Art', 'Fashion accessory']"
COSCO 20 x 48 Vinyl Top Folding Table Black,https://m.media-amazon.com/images/I/41CWXgRuGCL._AC_UL480_FMwebp_QL65_.jpg,"['Table', 'Furniture', 'Rectangle', 'Outdoor furniture', 'Outdoor table', 'Line', 'Wood stain', 'Wood', 'Coffee table', 'Plywood']","['Table', 'Furniture', 'Rectangle', 'Outdoor furniture', 'Outdoor table', 'Line', 'Wood stain', 'Wood', 'Coffee table', 'Plywood']"
"Folding Table,4ft Indoor Outdoor Heavy Duty Portable Folding Square Plastic Dining Table",https://m.media-amazon.com/images/I/51vYlQYxXxL._AC_UL480_FMwebp_QL65_.jpg,"['Table', 'Desk', 'Luggage & bags']","['Table', 'Rectangle', 'Outdoor furniture', 'Material property', 'Tire', 'Wood', 'Outdoor table', 'Metal', 'Automotive exterior', 'Aluminium']"
Sweetcrispy Small Computer Office Desk 32 Inch Kids Student Study Writing Work with Storage Bag,https://m.media-amazon.com/images/I/71iMhXX9Q9L._AC_UL480_FMwebp_QL65_.jpg,"['Laptop', 'Desk', 'Houseplant']","['Table', 'Laptop', 'Furniture', 'Computer', 'Property', 'Personal computer', 'Computer desk', 'Product', 'Rectangle', 'Desk']"
"COSCO Molded Folding Banquet Table w/Handle, 6ft, Black",https://m.media-amazon.com/images/I/61o-HmSlBLL._AC_UL480_FMwebp_QL65_.jpg,"['Table', 'Furniture', 'Outdoor table', 'Rectangle', 'Outdoor furniture', 'Line', 'Plant', 'Coffee table', 'Tree', 'Wood']","['Table', 'Furniture', 'Outdoor table', 'Rectangle', 'Outdoor furniture', 'Line', 'Plant', 'Coffee table', 'Tree', 'Wood']"
"L Shaped Desk - 43 Inch Gaming Desk, Computer Corner Desk, Home Office Writing Desk",https://m.media-amazon.com/images/I/71Rx0-s00nL._AC_UL480_FMwebp_QL65_.jpg,"['Desk', 'Desk', 'Desk']","['Table', 'Furniture', 'Rectangle', 'Computer desk', 'Desk', 'Personal computer', 'Interior design', 'Shelving', 'Line', 'Computer monitor']"
Folding Table 4 Foot Portable Heavy Duty Plastic Fold-in-Half Utility Table,https://m.media-amazon.com/images/I/51Uq2V-Dw0L._AC_UL480_FMwebp_QL65_.jpg,"['Table', 'Desk']","['Table', 'Furniture', 'Rectangle', 'Outdoor furniture', 'Parallel', 'Wood', 'Metal', 'Plywood', 'Aluminium', 'Shade']"
HOOBRO End Table with Charging Station and USB Ports,https://m.media-amazon.com/images/I/71etoV72iAL._AC_UL480_FMwebp_QL65_.jpg,['Nightstand'],"['Furniture', 'Shelf', 'Table', 'Rectangle', 'Outdoor furniture', 'Shelving', 'Chair', 'Wood', 'Wood stain', 'Plywood']"
STATESVILLE 32 inch Small Computer Desk Writing Study Work Office Table Modern Simple with Storage Bag,https://m.media-amazon.com/images/I/615t60-qErL._AC_UL480_FMwebp_QL65_.jpg,"['Furniture', 'Tire', 'Table', 'Wheel', 'Outdoor furniture', 'Wood', 'Rectangle', 'Chair', 'Hardwood', 'Outdoor table']","['Furniture', 'Tire', 'Table', 'Wheel', 'Outdoor furniture', 'Wood', 'Rectangle', 'Chair', 'Hardwood', 'Outdoor table']"
"SHW Home Office 32-Inch Computer Desk, Black",https://m.media-amazon.com/images/I/41wT18b9nJL._AC_UL480_FMwebp_QL65_.jpg,"['Table', 'Furniture', 'Rectangle', 'Line', 'Parallel', 'Plywood', 'Outdoor furniture', 'Wood', 'Transparent material', 'Outdoor table']","['Table', 'Furniture', 'Rectangle', 'Line', 'Parallel', 'Plywood', 'Outdoor furniture', 'Wood', 'Transparent material', 'Outdoor table']"
"HOOBRO Side Table, 3-Tier Narrow End Table, Nightstand with 2 Flat or Slant Adjustable Shelves for Small Spaces",https://m.media-amazon.com/images/I/71dLfRcfU5L._AC_UL480_FMwebp_QL65_.jpg,"['Furniture', 'White', 'Black', 'Rectangle', 'Table', 'Outdoor furniture', 'Natural material', 'Gas', 'Metal', 'Wood']","['Furniture', 'White', 'Black', 'Rectangle', 'Table', 'Outdoor furniture', 'Natural material', 'Gas', 'Metal', 'Wood']"
ZIUMIER Gaming Headset with Microphone,https://m.media-amazon.com/images/I/71nh1VxLzuL._AC_UY327_FMwebp_QL65_.jpg,['Headphones'],"['Output device', 'Peripheral', 'Gadget', 'Audio equipment', 'Font', 'Headphones', 'Communication Device', 'Electronic device', 'Magenta', 'Multimedia']"
EKSA E900 Headset with Microphone for PC,https://m.media-amazon.com/images/I/71N6Oge0ntL._AC_UY327_FMwebp_QL65_.jpg,['Headphones'],"['Peripheral', 'Output device', 'White', 'Purple', 'Communication Device', 'Audio equipment', 'Violet', 'Gadget', 'Material property', 'Font']"
